timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,sensor,UTCI_approx,UTCI_comfortable,UTCI_stressRange
2019-09-19 21:25:00+00:00,4.031380236,28.625,27.34,102.6525,-146.485,348.25,694.0,820.25,30.3875,26.465,18.4975,1.31,1.345,1.345,0.1875,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.213415222369676,False,1
2019-09-19 21:30:00+00:00,4.1656753064,28.59800000000001,27.356,102.66,-146.63000000000005,362.6,713.0,821.2,30.272,26.528,29.146,1.28,1.314,1.314,0.35200000000000004,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.193258707582075,False,1
2019-09-19 21:35:00+00:00,4.090474558,28.298000000000002,27.62,102.65,-146.236,367.8,717.8,832.0,30.28,26.428,18.882,1.254,1.286,1.2879999999999998,0.304,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.975866543987273,True,0
2019-09-19 21:40:00+00:00,4.1544513701999985,28.762,27.024,102.65,-146.316,371.4,708.2,830.0,30.392000000000003,26.3,17.366,1.262,1.294,1.296,0.2,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.301656550669218,False,1
2019-09-19 21:45:00+00:00,4.1115756988,28.904000000000003,26.676,102.65,-146.33200000000005,369.4,703.8,843.8,30.402000000000005,26.148000000000003,17.794,1.3019999999999998,1.334,1.334,0.152,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.392219414858296,False,1
2019-09-19 21:50:00+00:00,4.133518576749999,28.9625,26.555,102.655,-146.4025,365.75,688.25,834.0,30.3225,26.2075,17.9975,1.1175000000000002,1.145,1.145,0.14750000000000002,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.431004589008296,False,1
2019-09-19 21:55:00+00:00,4.1133716108,28.63000000000001,26.95800000000001,102.66,-146.644,378.8,717.4,830.0,30.19,26.374000000000002,17.686,1.508,1.546,1.546,0.308,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.19421176141734,False,1
2019-09-19 22:00:00+00:00,4.1728587626,28.17,27.47,102.66,-146.714,379.2,702.8,812.4,30.1,26.408,17.208,1.376,1.408,1.408,0.242,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.868427169540123,True,0
2019-09-19 22:05:00+00:00,4.177572727199999,28.748,26.556,102.66,-146.97599999999997,371.8,686.8,827.4,30.272,25.956,32.63,1.222,1.254,1.254,0.156,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.262253033013575,False,1
2019-09-19 22:10:00+00:00,4.4410562515,28.66,26.4925,102.66,-146.79500000000004,368.25,659.25,804.75,30.0125,26.12,35.7125,1.42,1.455,1.455,0.1025,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.189659936890255,False,1
